Timestamp,body,@requestId,requestContext.requestId,ColdStartDurationInMS,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2023-04-11 04:51:34.357,dHBzPTEwJmludGVydmFsPTU=,,e463be4e-5b48-4b4a-824e-474020e47ef5,,,,,
2023-04-11 04:51:34.358,,a006ba20-5054-403a-9e7f-87af26dc6418,,,3.64,4.0,128,52
2023-04-11 04:51:34.365,,e463be4e-5b48-4b4a-824e-474020e47ef5,,,9.22,10.0,128,54
2023-04-11 04:51:34.367,,ebe58e1c-6c35-4ee6-bb43-a86cd046f0de,,,11.92,12.0,128,52
2023-04-11 04:51:34.385,,a290ef74-b30b-46b5-8f42-81ad80d91b67,,,29.19,30.0,128,54
2023-04-11 04:51:40.054,dHBzPTEwJmludGVydmFsPTU=,,dddd43cb-37b2-4ed5-8312-86a346dc2d25,,,,,
2023-04-11 04:51:40.066,dHBzPTEwJmludGVydmFsPTU=,,24ee12fc-8a96-40bb-b7ca-e9ef3c973ffc,,,,,
2023-04-11 04:51:40.067,dHBzPTEwJmludGVydmFsPTU=,,d80aea7b-3afd-4dec-98c1-ba92fa60f109,,,,,
2023-04-11 04:51:40.067,,dddd43cb-37b2-4ed5-8312-86a346dc2d25,,,13.17,14.0,128,54
2023-04-11 04:51:40.078,dHBzPTEwJmludGVydmFsPTU=,,c8613319-ac72-44cd-8cbb-5c5e68052474,,,,,
2023-04-11 04:51:40.080,dHBzPTEwJmludGVydmFsPTU=,,e7ac10a3-657e-4977-8d51-64f20ddd439a,,,,,
2023-04-11 04:51:40.085,,d80aea7b-3afd-4dec-98c1-ba92fa60f109,,,18.68,19.0,128,54
2023-04-11 04:51:40.092,dHBzPTEwJmludGVydmFsPTU=,,54d75588-17ff-4970-a992-56afd54f2672,,,,,
2023-04-11 04:51:40.099,,c8613319-ac72-44cd-8cbb-5c5e68052474,,,24.27,25.0,128,53
2023-04-11 04:51:40.104,,e7ac10a3-657e-4977-8d51-64f20ddd439a,,,24.29,25.0,128,54
2023-04-11 04:51:40.107,,24ee12fc-8a96-40bb-b7ca-e9ef3c973ffc,,,46.71,47.0,128,53
2023-04-11 04:51:40.125,,54d75588-17ff-4970-a992-56afd54f2672,,,34.3,35.0,128,54
2023-04-11 04:51:40.143,dHBzPTEwJmludGVydmFsPTU=,,563093ac-a916-434f-bbe9-0e4d72254a6a,,,,,
2023-04-11 04:51:40.144,dHBzPTEwJmludGVydmFsPTU=,,b30c0067-9fd5-41b9-8d6a-a0b278f04f86,,,,,
